season,adp_name,adp_team,adp_overall,adp_rb_rank,adp_start_date,adp_end_date,adp_drafts,ppr_points,ppr_ppg,games,actual_rb_rank,rank_outperformance,adp_expected_ppr,adp_residual_ppr,workload_expected_ppr,workload_residual_ppr,prior_available,prior_carries,prior_targets,prior_touches,prior_touch_share,prior_target_share,prior_i20_carries,prior_i10_carries,prior_i5_carries,prior_i20_targets,prior_i10_targets,prior_i20_share,prior_i10_share,prior_i5_share,prior_i20_rb_share,prior_i10_rb_share,prior_i5_rb_share,prior_i5_td_conversion,prior_team_i20_carries,prior_team_i10_carries,prior_team_i5_carries,prior_team_rb_i20_carries,prior_team_rb_i10_carries,prior_team_rb_i5_carries,prior_offensive_tds_per_game,prior_red_zone_trips,prior_i10_rush_rate,touch_share_delta,target_share_delta,i20_share_delta,i10_share_delta,i5_share_delta,i20_rb_share_delta,i10_rb_share_delta,i5_rb_share_delta,teammate_i5_delta,team_changed,head_coach_change
2022,Elijah Mitchell,SF,42.400000,21,2022-09-03,2022-09-04,1633,43.600000,8.720000,5.000000,75,-54,199.490660,-155.890660,193.008812,-149.408812,1,207.000000,20.000000,226.000000,0.272618,0.040080,21.000000,11.000000,5.000000,2.000000,1.000000,0.333333,0.282051,0.250000,0.538462,0.458333,0.384615,0.600000,63.000000,39.000000,20.000000,39.000000,24.000000,13.000000,2.823529,68.000000,0.549296,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
2022,Breece Hall,NYJ,44.400000,22,2022-09-03,2022-09-04,1633,117.100000,16.728571,7.000000,41,-19,197.401359,-80.301359,174.527722,-57.427722,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
2022,Josh Jacobs,LV,46.800000,23,2022-09-03,2022-09-04,1633,330.300000,19.429412,17.000000,3,20,194.894199,135.405801,213.836698,116.463302,1,217.000000,64.000000,271.000000,0.325330,0.105785,38.000000,21.000000,13.000000,6.000000,3.000000,0.493506,0.583333,0.590909,0.593750,0.700000,0.722222,0.538462,77.000000,36.000000,22.000000,64.000000,30.000000,18.000000,2.176471,68.000000,0.500000,-0.048753,0.019907,-0.156494,-0.161348,-0.186869,-0.153376,-0.133333,-0.232323,-0.011785,0,0
2022,AJ Dillon,GB,48.700000,24,2022-09-03,2022-09-04,1633,0.000000,0.000000,0.000000,154,-130,192.909363,-192.909363,170.827170,-170.827170,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
2022,Clyde Edwards-Helaire,KC,54.300000,25,2022-09-03,2022-09-04,1633,98.300000,10.922222,9.000000,45,-20,187.059321,-88.759321,189.823302,-91.523302,1,119.000000,24.000000,138.000000,0.160465,0.037618,14.000000,7.000000,3.000000,4.000000,3.000000,0.166667,0.166667,0.120000,0.225806,0.225806,0.150000,1.000000,84.000000,42.000000,25.000000,62.000000,31.000000,20.000000,3.117647,86.000000,0.466667,-0.108766,-0.050330,-0.279487,-0.274510,-0.380000,-0.391215,-0.456012,-0.542308,0.393333,0,0
2022,Damien Harris,NE,59.800000,26,2022-09-03,2022-09-04,1633,90.900000,8.263636,11.000000,47,-21,181.313745,-90.413745,181.216293,-90.316293,1,202.000000,21.000000,220.000000,0.262843,0.039924,46.000000,30.000000,16.000000,2.000000,0.000000,0.464646,0.588235,0.571429,0.528736,0.612245,0.571429,0.562500,99.000000,51.000000,28.000000,87.000000,49.000000,28.000000,2.823529,75.000000,0.621951,0.079618,0.023297,0.254646,0.410816,0.483193,0.139847,0.219388,0.271429,-0.491597,0,0
2022,Miles Sanders,PHI,61.700000,27,2022-09-03,2022-09-04,1633,220.700000,12.982353,17.000000,15,12,179.328909,41.371091,175.283201,45.416799,1,138.000000,34.000000,164.000000,0.193625,0.072187,22.000000,11.000000,7.000000,3.000000,0.000000,0.198198,0.157143,0.159091,0.275000,0.220000,0.225806,0.000000,111.000000,70.000000,44.000000,80.000000,50.000000,31.000000,2.647059,74.000000,0.700000,-0.070883,-0.019524,-0.216088,-0.277640,-0.400909,-0.329167,-0.446667,-0.597723,0.095455,0,1
2022,Rashaad Penny,SEA,63.300000,28,2022-09-03,2022-09-04,1633,52.200000,10.440000,5.000000,64,-36,177.657469,-125.457469,161.650689,-109.450689,1,119.000000,8.000000,125.000000,0.171468,0.016807,19.000000,8.000000,4.000000,1.000000,0.000000,0.322034,0.285714,0.222222,0.358491,0.307692,0.250000,0.250000,59.000000,28.000000,18.000000,53.000000,26.000000,16.000000,2.823529,68.000000,0.571429,0.157401,0.016807,0.289776,0.256303,0.222222,0.322127,0.274359,0.250000,-0.125604,0,0
2022,Kareem Hunt,CLE,68.900000,29,2022-09-03,2022-09-04,1633,126.800000,7.458824,17.000000,39,-10,171.807427,-45.007427,163.714916,-36.914916,1,79.000000,27.000000,101.000000,0.127204,0.053785,18.000000,8.000000,5.000000,4.000000,1.000000,0.195652,0.186047,0.217391,0.222222,0.205128,0.250000,0.600000,92.000000,43.000000,23.000000,81.000000,39.000000,20.000000,2.411765,64.000000,0.581081,-0.169278,-0.055189,-0.250000,-0.175656,-0.264090,-0.296765,-0.230769,-0.270000,0.033816,0,0
2022,Chase Edmonds,DEN,69.600000,30,2022-09-03,2022-09-04,1633,0.000000,0.000000,0.000000,154,-124,171.076172,-171.076172,169.632454,-169.632454,1,116.000000,53.000000,159.000000,0.177852,0.092657,20.000000,12.000000,5.000000,7.000000,1.000000,0.202020,0.218182,0.166667,0.307692,0.292683,0.217391,0.200000,99.000000,55.000000,30.000000,65.000000,41.000000,23.000000,2.941176,82.000000,0.572917,0.002823,-0.029829,0.047381,0.161578,0.135417,0.096425,0.213736,0.173913,-0.087500,1,0
