season,adp_name,adp_team,adp_overall,ppr_points,ppr_ppg,adp_residual_ppr,workload_residual_ppr,touch_share_delta,target_share_delta,i20_share_delta,i10_share_delta,i5_share_delta,i20_rb_share_delta,i10_rb_share_delta,i5_rb_share_delta,teammate_i5_delta,head_coach_change,team_changed,two_year_available,role_change_category
2025,Jaylen Warren,PIT,76.300000,217.100000,13.568750,62.602150,66.270422,-0.078064,-0.050532,-0.077478,-0.082679,-0.073427,-0.054018,-0.073529,-0.071895,-0.083916,0,0,1,STABLE
2025,Brian Robinson,FA,149.000000,62.500000,4.166667,-21.305926,-18.026766,-0.046186,-0.022216,-0.127957,-0.141791,-0.056061,-0.139464,-0.229412,-0.077640,0.072727,1,1,1,STABLE
2025,James Conner,ARI,42.300000,33.300000,11.100000,-154.258723,-159.249183,0.055716,0.041060,0.114419,0.179567,0.152174,-0.029696,-0.051948,-0.085526,-0.083851,0,0,1,STABLE
2025,Jerome Ford,WAS,130.800000,43.600000,3.963636,-57.903216,-60.423458,-0.107380,-0.038093,-0.038462,-0.097039,-0.073333,-0.047619,-0.105769,-0.085714,-0.146667,0,1,1,STABLE
2025,Justice Hill,BAL,167.300000,65.200000,8.150000,-0.811397,-15.899304,-0.027080,0.029593,-0.144974,-0.113661,-0.074169,-0.227692,-0.153416,-0.090312,0.163683,0,0,1,STABLE
2024,Ezekiel Elliott,LAC,96.200000,0.000000,0.000000,-137.219326,-111.027884,0.024321,0.077802,-0.034897,-0.069048,-0.148148,-0.088372,-0.087719,-0.105769,0.074074,1,1,1,STABLE
2023,Austin Ekeler,LAC,5.000000,192.200000,13.728571,-46.311019,-117.847306,0.031124,0.041896,0.140519,0.080559,-0.092857,0.105924,0.057807,-0.108889,0.092857,0,0,1,STABLE
2023,James Conner,ARI,66.200000,201.500000,15.500000,32.262961,-0.995705,-0.001677,0.022302,-0.086405,-0.092424,-0.252174,-0.021154,0.031359,-0.115942,0.094203,0,0,1,STABLE
2024,Jonathan Taylor,IND,9.800000,246.700000,17.621429,22.286591,31.240508,-0.036031,-0.030299,-0.077618,-0.186976,-0.112903,-0.091129,-0.251111,-0.121118,0.188172,1,0,1,STABLE
2025,Chris Rodriguez Jr.,JAX,148.000000,92.000000,7.666667,7.221696,24.219299,-0.028463,-0.001354,-0.027957,-0.023454,-0.089394,-0.029119,-0.043137,-0.127329,-0.056061,1,1,1,STABLE
2025,Saquon Barkley,PHI,2.500000,232.300000,14.518750,6.040608,19.047546,0.054710,-0.022631,-0.141866,-0.239770,-0.565217,-0.085185,-0.094017,-0.130435,0.456522,1,0,1,STABLE
2022,Melvin Gordon III,KC,85.400000,0.000000,0.000000,-154.570697,-143.699569,-0.042985,-0.008707,-0.121248,-0.200000,-0.021739,-0.203049,-0.318182,-0.142857,0.184783,0,1,1,STABLE
2023,Aaron Jones Sr.,GB,38.900000,136.900000,12.445455,-63.238667,-69.493958,0.068889,0.020802,0.107060,-0.019481,-0.105714,0.119076,-0.051282,-0.150183,0.274286,0,0,1,DECLINING
2024,Josh Jacobs,GB,23.600000,299.100000,17.594118,88.613424,136.612911,-0.142230,-0.012769,-0.221205,-0.278195,-0.340351,-0.213333,-0.201389,-0.152381,0.024561,0,1,1,DECLINING
2024,Derrick Henry,BAL,15.900000,338.400000,19.905882,120.142655,184.075484,-0.083103,-0.018665,-0.139286,-0.059524,-0.027569,-0.159399,-0.172414,-0.157895,-0.015038,0,1,1,DECLINING
2022,Aaron Jones Sr.,GB,14.900000,252.600000,14.858824,24.381456,17.277249,-0.043815,-0.012112,-0.143692,-0.159091,-0.203810,-0.150355,-0.168016,-0.169048,0.059048,0,0,1,DECLINING
2023,Zack Moss,IND,163.000000,167.600000,11.971429,107.933570,67.375816,-0.043075,-0.042460,-0.025837,-0.063741,-0.041667,-0.108133,-0.164444,-0.170330,0.083333,1,0,1,DECLINING
2024,Dameon Pierce,HOU,151.400000,43.500000,5.437500,-38.011994,-67.529669,-0.142371,-0.039518,-0.251770,-0.188889,-0.189655,-0.251674,-0.180828,-0.171429,0.143678,1,0,1,DECLINING
2025,Tony Pollard,TEN,56.800000,191.800000,11.282353,18.340767,14.462759,0.033204,0.001567,-0.029125,-0.019231,-0.054545,-0.049412,-0.093182,-0.174545,0.230303,1,0,1,DECLINING
2025,D'Andre Swift,CHI,56.800000,231.700000,14.481250,58.240767,53.184694,0.074078,0.005725,0.179343,0.130070,0.016667,0.104274,-0.049451,-0.210526,-0.082143,1,0,1,DECLINING
2023,Antonio Gibson,WAS,88.900000,131.400000,8.212500,-12.142278,-25.020827,-0.139903,0.009696,-0.257326,-0.169574,-0.145833,-0.332212,-0.251634,-0.220000,0.187500,0,0,1,DECLINING
2022,Josh Jacobs,LV,46.800000,330.300000,19.429412,135.405801,116.463302,-0.048753,0.019907,-0.156494,-0.161348,-0.186869,-0.153376,-0.133333,-0.232323,-0.011785,0,0,1,DECLINING
2025,Kenneth Walker,KC,44.000000,191.900000,11.288235,5.994321,28.037829,-0.079631,0.025262,-0.153027,-0.084942,-0.223602,-0.161923,-0.125000,-0.234286,0.203416,1,1,1,DECLINING
