season,adp_name,adp_team,adp_overall,ppr_points,ppr_ppg,adp_residual_ppr,workload_residual_ppr,prior_carries,prior_targets,prior_touch_share,prior_i20_share,prior_i10_share,prior_i5_share,prior_highest_teammate_i20_name,prior_highest_teammate_i20_position,prior_highest_teammate_i20_share,prior_highest_teammate_i20_rush_tds,prior_highest_teammate_i10_name,prior_highest_teammate_i10_position,prior_highest_teammate_i10_share,prior_highest_teammate_i10_rush_tds,prior_highest_teammate_i5_name,prior_highest_teammate_i5_position,prior_highest_teammate_i5_share,prior_highest_teammate_i5_rush_tds,prior_highest_other_rb_i5_share,prior_non_rb_i10_share,prior_non_rb_i5_share,prior_qb_i5_share,prior_te_hybrid_i5_share,prior_short_yardage_specialist,prior_specialist_name,prior_specialist_position,prior_rb_i5_hhi
2024,Rachaad White,TB,29.000000,205.600000,13.706667,0.563054,-2.668525,272.000000,70.000000,0.430218,0.709091,0.760000,0.733333,Baker Mayfield,QB,0.127273,1.000000,Baker Mayfield,QB,0.200000,1.000000,Baker Mayfield,QB,0.200000,1.000000,0.000000,0.240000,0.266667,0.200000,0.000000,1.000000,Baker Mayfield,QB,1.000000
2023,Austin Ekeler,LAC,5.000000,192.200000,13.728571,-46.311019,-117.847306,204.000000,127.000000,0.356651,0.645570,0.631579,0.550000,Joshua Kelley,RB,0.177215,2.000000,Joshua Kelley,RB,0.210526,2.000000,Joshua Kelley,RB,0.200000,2.000000,0.200000,0.078947,0.100000,0.100000,0.000000,1.000000,Joshua Kelley,RB,0.438272
2023,Rhamondre Stevenson,NE,23.400000,147.700000,12.308333,-69.983548,-60.786869,210.000000,90.000000,0.366623,0.516129,0.593750,0.600000,Damien Harris,RB,0.209677,3.000000,Damien Harris,RB,0.187500,3.000000,Damien Harris,RB,0.200000,3.000000,0.200000,0.125000,0.100000,0.050000,0.050000,1.000000,Damien Harris,RB,0.500000
2025,De'Von Achane,MIA,14.100000,322.100000,20.131250,107.120200,88.147172,203.000000,87.000000,0.329040,0.535211,0.589744,0.700000,Raheem Mostert,RB,0.211268,2.000000,Raheem Mostert,RB,0.256410,2.000000,Raheem Mostert,RB,0.200000,1.000000,0.200000,0.076923,0.050000,0.050000,0.000000,1.000000,Raheem Mostert,RB,0.590028
2023,Najee Harris,PIT,30.400000,197.500000,11.617647,-12.260053,-33.339092,272.000000,53.000000,0.366082,0.538462,0.550000,0.461538,Jaylen Warren,RB,0.166667,1.000000,Kenny Pickett,QB,0.150000,3.000000,Kenny Pickett,QB,0.192308,3.000000,0.076923,0.275000,0.384615,0.307692,0.038462,0.000000,,,0.585938
2025,Najee Harris,FA,153.900000,11.600000,3.866667,-67.441271,-61.873936,263.000000,48.000000,0.355952,0.548387,0.530612,0.461538,Jaylen Warren,RB,0.182796,1.000000,Justin Fields,QB,0.183673,5.000000,Justin Fields,QB,0.192308,4.000000,0.153846,0.306122,0.307692,0.307692,0.000000,0.000000,,,0.500000
2022,Leonard Fournette,TB,21.900000,228.100000,14.256250,7.194008,-33.085717,180.000000,84.000000,0.289535,0.569444,0.531915,0.538462,Ronald Jones,RB,0.194444,4.000000,Ronald Jones,RB,0.191489,4.000000,Ronald Jones,RB,0.192308,1.000000,0.192308,0.148936,0.153846,0.076923,0.076923,0.000000,,,0.466942
2022,Dalvin Cook,MIN,7.500000,245.800000,14.458824,9.851044,0.052769,251.000000,49.000000,0.338480,0.522222,0.560000,0.653846,Alexander Mattison,RB,0.355556,3.000000,Alexander Mattison,RB,0.300000,3.000000,Alexander Mattison,RB,0.192308,1.000000,0.192308,0.040000,0.038462,0.038462,0.000000,0.000000,,,0.510400
2024,Tyler Allgeier,ATL,125.100000,104.200000,6.512500,-3.853712,-30.033309,187.000000,24.000000,0.243757,0.445783,0.297297,0.437500,Bijan Robinson,RB,0.277108,4.000000,Bijan Robinson,RB,0.324324,3.000000,Bijan Robinson,RB,0.187500,2.000000,0.187500,0.243243,0.250000,0.125000,0.125000,0.000000,,,0.430556
2022,Antonio Gibson,WAS,114.700000,165.900000,11.060000,41.937558,20.041260,259.000000,53.000000,0.363527,0.578313,0.541667,0.562500,Taylor Heinicke,QB,0.168675,1.000000,Taylor Heinicke,QB,0.229167,1.000000,Taylor Heinicke,QB,0.187500,1.000000,0.125000,0.250000,0.218750,0.218750,0.000000,0.000000,,,0.552000
2024,Alexander Mattison,LV,160.700000,137.400000,9.814286,65.273480,58.823981,180.000000,44.000000,0.258940,0.444444,0.428571,0.562500,Ty Chandler,RB,0.203704,3.000000,Ty Chandler,RB,0.178571,3.000000,Ty Chandler,RB,0.187500,3.000000,0.187500,0.285714,0.187500,0.187500,0.000000,0.000000,,,0.538462
2024,Austin Ekeler,WAS,88.000000,132.300000,11.025000,-13.194690,-14.854014,179.000000,74.000000,0.277108,0.410959,0.533333,0.592593,Joshua Kelley,RB,0.191781,1.000000,Joshua Kelley,RB,0.155556,1.000000,Justin Herbert,QB,0.185185,2.000000,0.111111,0.266667,0.296296,0.296296,0.000000,0.000000,,,0.734072
2025,Kyren Williams,LAR,23.100000,267.300000,15.723529,61.071608,62.181116,316.000000,40.000000,0.435866,0.760870,0.767442,0.714286,Blake Corum,RB,0.086957,0.000000,Blake Corum,RB,0.139535,0.000000,Blake Corum,RB,0.178571,0.000000,0.178571,0.069767,0.107143,0.035714,0.071429,0.000000,,,0.680000
2023,Christian McCaffrey,SF,2.400000,395.300000,24.706250,153.845969,3.709911,246.000000,108.000000,0.255758,0.306931,0.350877,0.323529,J.Wilson,UNK,0.138614,1.000000,J.Wilson,UNK,0.157895,1.000000,J.Wilson,UNK,0.176471,1.000000,0.088235,0.350877,0.382353,0.176471,0.029412,0.000000,,,0.324263
2025,Alvin Kamara,NO,29.700000,104.700000,9.518182,-95.110694,-99.525635,228.000000,89.000000,0.381935,0.538462,0.548387,0.647059,Jamaal Williams,RB,0.153846,1.000000,Taysom Hill,TE,0.193548,4.000000,Derek Carr,QB,0.176471,1.000000,0.058824,0.290323,0.294118,0.176471,0.117647,0.000000,,,0.847222
